ZnSe,1.0,0.417,1
BaF2,1.0,0.689,1
ZnSe,1.0,0.417,1
BaF2,1.0,0.689,1
ZnSe,1.0,0.417,1
BaF2,1.0,0.689,1
ZnSe,1.0,0.417,1
